type	public_code	ur_code_legacy	XML_root_legacy	XML_element_legacy	description_LV	description_EN
legal_form	PUBLIC_ORGANISATION_ENTERPRISE_SOU	SOU	LegalEntityExtenedStructure	LegalForm	Sabiedriskâs organizâcijas uzòçmums (vçsturiska forma)	Undertaking of Public Organisation (historical form)
legal_form	PUBLIC_ORGANISATION_SAB	SAB	LegalEntityExtenedStructure	LegalForm	Sabiedriskâ organizâcija (vçsturiska forma)	Public Organisation  (historical form)
legal_form	PUBLIC_SPORTS_ORGANISATION_SPO	SPO	LegalEntityExtenedStructure	LegalForm	Sporta sabiedriskâ organizâcija  (vçsturiska forma)	Public Sports Organisation (historical form)
legal_form	RELIGIOUS_ASSOCIATION_BIE	BIE	LegalEntityExtenedStructure	LegalForm	Biedrîba rel.  (vçsturiska forma)	Religious Association (historical form)
legal_form	RELIGIOUS_ORGANISATION_ENTERPRISE_REL	REL	LegalEntityExtenedStructure	LegalForm	Reliìiskas organizâcijas uzòçmums (vçsturiska forma)	Undertaking of Religious Organisation  (historical form)
legal_form	RELIGIOUS_UNION_SAV	SAV	LegalEntityExtenedStructure	LegalForm	Savienîba	Religious Union
legal_form	REPRESENTATIVE_OFFICE_OF_FOREIGN_ORGANISATION_POR	POR	LegalEntityExtenedStructure	LegalForm	Ârvalsts organizâcijas pârstâvniecîba	Representative Office of Foreign Organisation
legal_form	REPRESENTATIVE_OFFICE_PAR	PAR	LegalEntityExtenedStructure	LegalForm	Pârstâvniecîba (vçsturiska forma)	Representative Office (historical form)
legal_form	REPRESENTATIVE_PRV	PRV	LegalEntityExtenedStructure	LegalForm	Pârstâvis (vçsturiska forma)	Representative (historical form)
legal_form	SOLE_TRADER_IK	IK	LegalEntityExtenedStructure	LegalForm	Individuâlais komersants	Sole trader
legal_form	SPIRITUAL_CENTRE_CEN	CEN	LegalEntityExtenedStructure	LegalForm	Centrs  (vçsturiska forma)	Spiritual Centre (historical form)
legal_form	STATE_OWNED_ENTERPRISE_VU	VU	LegalEntityExtenedStructure	LegalForm	Valsts uzòçmums  (vçsturiska forma)	State-owned Enterprise (historical form)
legal_form	TRADE_UNION_ARB	ARB	LegalEntityExtenedStructure	LegalForm	Arodbiedrîba	Trade Union
legal_form	TRADE_UNION_HISTORICAL_ARB	ARB	LegalEntityExtenedStructure	LegalForm	Arodbiedrîba (vçsturiska forma)	Trade Union (historical form)
legal_form	UNDERTAKING_OF_COMPANY_UZN	UZN	LegalEntityExtenedStructure	LegalForm	Uzòçmçjsabiedrîbas uzòçmums (vçsturiska forma)	Undertaking of Company (historical form)
legal_form	UNION_OF_COOPERATIVE_SOCIETIES_COMPANY_KSS	KSS	LegalEntityExtenedStructure	LegalForm	Kooperatîvo biedrîbu savienîbas uzòçmums  (vçsturiska forma)	Undertaking of Union of Co-operative Societies (historical form)
legal_form	UNION_OF_COOPRATIVE_SOCIETIES_KBS	KBS	LegalEntityExtenedStructure	LegalForm	Kooperatîvo biedrîbu savienîba  (vçsturiska forma)	Union of Co-oprative Societies  (historical form)
liquidation_suspension_prohibition	ACTIVITY_CONTINUED	L2	LegalEntityExtenedStructure	LiquidationForm	Darbîbas turpinâðana	Activity continued
liquidation_suspension_prohibition	ACTIVITY_OF_RELIGIOUS_ORGANISATION_TERMINATED	RR	LegalEntityExtenedStructure	LiquidationForm	Reliìiskas organizâcijas darbîbas izbeigðana	Activity of a Religious Organisation terminated
liquidation_suspension_prohibition	ACTIVITY_RESTORED	L9	LegalEntityExtenedStructure	LiquidationForm	Darbîbas atjaunoðana	Activity restored
liquidation_suspension_prohibition	ACTIVITY_SUSPENDED	L1	LegalEntityExtenedStructure	LiquidationForm	Darbîbas apturçðana	Activity suspended 
liquidation_suspension_prohibition	ACTIVITY_SUSPENDED_BY_COURT	LB	LegalEntityExtenedStructure	LiquidationForm	Darbîbas apturçðana uz tiesas lçmuma pamata	Activity suspended by a court decision
liquidation_suspension_prohibition	ACTIVITY_TERMINATED	LD	LegalEntityExtenedStructure	LiquidationForm	Darbîbas izbeigðana	Activity terminated 
liquidation_suspension_prohibition	ACTIVITY_TERMINATED_BY_COURT	LC	LegalEntityExtenedStructure	LiquidationForm	Darbîbas izbeigðana uz tiesas lçmuma pamata	Activity terminated by a court decision
liquidation_suspension_prohibition	ECONOMIC_ACTIVITY_RESTORED	L8	LegalEntityExtenedStructure	LiquidationForm	Saimnieciskâs darbîbas atjaunoðana	Economic activity restored
liquidation_suspension_prohibition	ECONOMIC_ACTIVITY_SUSPENDED	L7	LegalEntityExtenedStructure	LiquidationForm	Saimnieciskâs darbîbas apturçðana	Economic activity suspended
liquidation_suspension_prohibition	EEIG_DECLARED_TO_BE_NONEXISTENT	LA	LegalEntityExtenedStructure	LiquidationForm	EEIG atzîta par neesoðu	EEIG declared to be non-existent
liquidation_suspension_prohibition	LIQUIDATION	LI	LegalEntityExtenedStructure	LiquidationForm	Likvidâcijas process	Liquidation proceeding
liquidation_suspension_prohibition	NON_REREGISTRATION	RK	LegalEntityExtenedStructure	LiquidationForm	Nepârreìistrâcija	Non Re-registration
liquidation_suspension_prohibition	PROHIBITION_ON_BUSINESS_ACTIVITY	L5	LegalEntityExtenedStructure	LiquidationForm	Aizliegums veikt uzòçmçjdarbîbu	Prohibition on business activity
liquidation_suspension_prohibition	PROHIBITION_ON_BUSINESS_ACTIVITY_REMOVED	L6	LegalEntityExtenedStructure	LiquidationForm	Aizlieguma veikt uzòçmçjdarbîbu atcelðana	Prohibition on business activity removed
liquidation_suspension_prohibition	PROHIBITION_ON_PUBLIC_ACTIVITY	L3	LegalEntityExtenedStructure	LiquidationForm	Publiskâs darbîbas vai citas darbîbas aizliegums	Prohibition on public activity or other activity
liquidation_suspension_prohibition	PROHIBITION_ON_PUBLIC_ACTIVITY_REMOVED	L4	LegalEntityExtenedStructure	LiquidationForm	Publiskâs darbîbas vai citas darb. aizlieg. atc.	Prohibition on public activity or other activity removed
liquidation_suspension_prohibition	REFORM_OF_ASSOCIATIONS	RB	LegalEntityExtenedStructure	LiquidationForm	Biedrîbu reforma	Reform of Associations
liquidation_suspension_prohibition	REFORM_OF_POLITICAL_PARTIES	RP	LegalEntityExtenedStructure	LiquidationForm	Polistiko partiju reforma	Reform of Political Parties
liquidation_suspension_prohibition_result	ACTIVITY_CONTINUED	U	LegalEntityExtenedStructure	Result	Darbîbas turpinâðana	Activity continued
liquidation_suspension_prohibition_result	ACTIVITY_RESTORED	E	LegalEntityExtenedStructure	Result	Darbîbas atjaunoðana	Activity restored
liquidation_suspension_prohibition_result	ACTIVITY_TERMINATED	D	LegalEntityExtenedStructure	Result	Darbîba izbeigta	Activity terminated
liquidation_suspension_prohibition_result	ANNULLED_PROCEEDING	A	LegalEntityExtenedStructure	Result	Anulçts	Annulled
liquidation_suspension_prohibition_result	CANCELLED	P	LegalEntityExtenedStructure	Result	Pârtraukts	Cancelled
liquidation_suspension_prohibition_result	ECONOMIC_ACTIVITY_RESTORED	J	LegalEntityExtenedStructure	Result	Saimnieciskâs darbîbas atjaunoðana	Economic activity restored
liquidation_suspension_prohibition_result	IN_PROGRESS	R	LegalEntityExtenedStructure	Result	Process risinâs	In progress
liquidation_suspension_prohibition_result	IN_REHABILITATION	S	LegalEntityExtenedStructure	Result	Sançts	In rehabilitation
liquidation_suspension_prohibition_result	LIQUIDATED	L	LegalEntityExtenedStructure	Result	Likvidçts	Liquidated
liquidation_suspension_prohibition_result	PROHIBITON_ON_BUSINESS_ACTIVITY_REMOVED	I	LegalEntityExtenedStructure	Result	Aizlieguma veikt uzòçmçjdarbîbu atcelðana	Prohibition on business activity removed
liquidation_suspension_prohibition_result	PROHIBITON_ON_PUBLIC_ACTIVITY_REMOVED	T	LegalEntityExtenedStructure	Result	Publiskâs darbîbas vai citas darbîbas aizlieguma atcelðana	Prohibition on public activity or other activity removed
nature_of_control	AS_COOPERATIVE_MEMBER	KK	LegalEntityExtenedStructure	NatureOfControl	kâ kooperatîvâs sabiedrîbas biedrs	as a cooperative society member
nature_of_control	AS_FOUNDATION_FOUNDER	KN	LegalEntityExtenedStructure	NatureOfControl	kâ nodibinâjuma dibinâtâjs	as a foundation founder
nature_of_control	AS_MEMBER	KD	LegalEntityExtenedStructure	NatureOfControl	kâ dalîbnieks	as a member
nature_of_control	AS_OWNER	KS	LegalEntityExtenedStructure	NatureOfControl	kâ îpaðnieks	as the owner
nature_of_control	AS_PARTNERSHIP_MEMBER	KP	LegalEntityExtenedStructure	NatureOfControl	kâ personâlsabiedrîbas biedrs	as a partnership member
nature_of_control	AS_REPRESENTATIVE	KI	LegalEntityExtenedStructure	NatureOfControl	kâ izpildinstitûcijas vai pârvaldes institûcijas pârstâvis	as a representative of the executive institution or of the administrative body
nature_of_control	AS_SHAREHOLDER	KA	LegalEntityExtenedStructure	NatureOfControl	kâ akcionârs	as a shareholder
nature_of_control	AS_SOCIETY_MEMBER	KB	LegalEntityExtenedStructure	NatureOfControl	kâ biedrîbas biedrs	as a society member
nature_of_control	ON_GROUNDS_OF_AUTHORIZATION	PP	LegalEntityExtenedStructure	NatureOfControl	uz pilnvarojuma lîguma pamata	on grounds of the Power of Attorney
nature_of_control	ON_GROUNDS_OF_BUSINESS_RELATIONS	CA	LegalEntityExtenedStructure	NatureOfControl	uz darîjuma attiecîbu pamata	on grounds of the business relations
nature_of_control	ON_GROUNDS_OF_PROPERTY_RIGHT	IP	LegalEntityExtenedStructure	NatureOfControl	uz îpaðumtiesîbu pamata	on grounds of the property right
nature_of_control	OTHER_TYPE_OF_CONTROL	C	LegalEntityExtenedStructure	NatureOfControl	cits	other
nature_of_control	VIA_ARRANGEMENT_AS_AUTHORIZING_PERSON	CP	LegalEntityExtenedStructure	NatureOfControl	caur juridisko veidojumu kâ pilnvarotâjs	via legal arrangement as the authorizing person
nature_of_control	VIA_ARRANGEMENT_AS_FOUNDER	CD	LegalEntityExtenedStructure	NatureOfControl	caur juridisko veidojumu kâ dibinâtâjs	via legal arrangement as the founder
nature_of_control	VIA_ARRANGEMENT_AS_MANAGING_PERSON	CR	LegalEntityExtenedStructure	NatureOfControl	caur juridisko veidojumu kâ pârvaldîtâjs	via legal arrangement as the managing person
position	ADMINISTRATIVE_MANAGER				Administratîvais vadîtâjs	Administrative Manager
position	ADMINISTRATOR	ADM	LegalEntityExtenedStructure	Position	Administrators	Administrator
position	ARBITRATOR	SKT	LegalEntityExtenedStructure	Position	Tiesnesis	Arbitrator
position	AUDITOR	RVD	LegalEntityExtenedStructure	Position	Revidents	Auditor
position	AUTHORISED_REPRESENTATIVE	PVP	LegalEntityExtenedStructure	Position	Pilnvarotais pârstâvis	Authorised representative
position	BOARD_MEMBER	VLO	LegalEntityExtenedStructure	Position	Valdes loceklis	Member of the Board
position	BRANCH_REPRESENTATIVE	FIL	LegalEntityExtenedStructure	Position	Persona, kura pilnvarota pârstâvçt komersantu darbîbâs, kas saistîtas ar filiâli	A person authorized to represent the merchant in activities related to a branch
position	CHAIR_OF_BOARD	VPR	LegalEntityExtenedStructure	Position	Valdes priekðsçdçtâjs	Chairperson of the Board
position	CHAIR_OF_SUPERVISORY_BOARD	PPR	LegalEntityExtenedStructure	Position	Padomes priekðsçdçtâjs	Chairman of the Supervisory Board
position	CO_OWNER	LIP	LegalEntityExtenedStructure	Position	Lîdzîpaðnieks	Co-owner
position	DEPUTY_CHAIR_OF_SUPERVISORY_BOARD	PPV	LegalEntityExtenedStructure	Position	Padomes priekðsçdçtâja vietnieks	Deputy Chairman of the Supervisory Board
position	ESTATE_TRUSTEE	MAG	LegalEntityExtenedStructure	Position	Mantojuma aizgâdnis	Estate Trustee
position	GENERAL_MANAGER				Vadîtâjs	General Manager
position	GUARDIAN	ABD	LegalEntityExtenedStructure	Position	Aizbildnis	Guardian of a minor
position	LIQUIDATOR	LKV	LegalEntityExtenedStructure	Position	Likvidators	Liquidator
position	MANAGER	VAD	LegalEntityExtenedStructure	Position	Vadîtâjs	Manager
position	MANAGING_DIRECTOR	RDR	LegalEntityExtenedStructure	Position	Rîkotâjdirektors	Managing Director
position	MEMBER	BDR	LegalEntityExtenedStructure	Position	Biedrs	Member
position	OWNER	IPN	LegalEntityExtenedStructure	Position	Îpaðnieks	Owner
position	PRESIDENT	PRZ	LegalEntityExtenedStructure	Position	Prezidents	President
position	REPRESENTATIVE_MANAGER	PAR	LegalEntityExtenedStructure	Position	Pârvaldnieks	Representative manager
position	REPRESENTATIVE_OF_THE_LIQUIDATOR	LKP	LegalEntityExtenedStructure	Position	Likvidatora pârstâvis	Representative of the Liquidator
position	SUPERVISORY_BOARD_MEMBER	PLO	LegalEntityExtenedStructure	Position	Padomes loceklis	Member of the Supervisory Board
register	ARBITRAGE	T	LegalEntityExtenedStructure	Register	Ðíîrçjtiesu reìistrs	Arbitrage Register
register	ASSOCIATIONS_AND_FOUNDATIONS	B	LegalEntityExtenedStructure	Register	Biedrîbu un nodibinâjumu reìistrs	Register of Associations and Foundations
register	COMMERCIAL	K	LegalEntityExtenedStructure	Register	Komercreìistrs	Commercial Register
register	COMMERCIAL_PLEDGES	KK	LegalEntityExtenedStructure	Register	Komercíîlu reìistrs	Register of Commercial Pledges
register	ENTERPRISE_REGISTER_JOURNAL	U	LegalEntityExtenedStructure	Register	Uzòçmumu reìistra þurnâls	Enterprise Register Journal
register	EUROPEAN_ECONOMIC_INTEREST_GROUPINGS	E	LegalEntityExtenedStructure	Register	Eiropas ekonomisko intereðu grupu reìistrs	Register of European Economic Interest Groupings
register	INSOLVENCY	MN	LegalEntityExtenedStructure	Register	Maksâtnespçjas reìistrs	Insolvency register
register	MASS_MEDIA	M	LegalEntityExtenedStructure	Register	Masu informâcijas lîdzekïu reìistrs	Mass Media Register
register	POLITICAL_ORGANISATIONS	O	LegalEntityExtenedStructure	Register	Politisko organizâciju un to apvienîbu reìistrs	Register of Political Organisations (historical)
register	POLITICAL_PARTIES	P	LegalEntityExtenedStructure	Register	Politisko partiju reìistrs	Register of Political Parties
register	PUBLIC_ORGANISATIONS	S	LegalEntityExtenedStructure	Register	Sabiedrisko organizâciju reìistrs	Register of Public Organisations (historical)
register	PUBLIC_PERSONS_INSTITUTIONS	I	LegalEntityExtenedStructure	Register	Publisko personu un iestâþu saraksts	List of public persons and authorities
register	PUBLIC_PRIVATE_PARTNERSHIP_CONTRACTS	PL	LegalEntityExtenedStructure	Register	Publiskâs un privâtâs partnerîbas lîgumu reìistrs	Register of Public and Private Partnership Contracts
register	RELIGIOUS_ORGANISATIONS_AND_INSTITUTIONS	R	LegalEntityExtenedStructure	Register	Reliìisko organizâciju un to iestâþu reìistrs	Register of Religious Organisations and Institutions Thereof
register	REPRESENTATIVE_OFFICES	C	LegalEntityExtenedStructure	Register	Pârstâvniecîbu reìistrs	Register of Representative Offices
register	SPOUSAL_PROPERTY_RELATIONS	LM	LegalEntityExtenedStructure	Register	Laulâto mantisko attiecîbu reìistrs	Spousal Property Relations Register
register	TRADE_UNIONS	A	LegalEntityExtenedStructure	Register	Arodbiedrîbu reìistrs	Register of Trade Unions (historical)
registration_removal_reason	ADDRESS_UPDATE	K	LegalEntityExtenedStructure	Reason	Adreses aktualizâcija	Address update
registration_removal_reason	ANNULLED	A	LegalEntityExtenedStructure	Reason	Anulçts	Annulled
registration_removal_reason	DATA_CHANGES	L	LegalEntityExtenedStructure	Reason	Datu izmaiòas	Data changes
registration_removal_reason	DECEASED	M	LegalEntityExtenedStructure	Reason	Miris	Deceased
registration_removal_reason	ERROR_CORRECTION	O	LegalEntityExtenedStructure	Reason	Kïûdas laboðana	Error correction
registration_removal_reason	INFORMATION_REMOVED	Z	LegalEntityExtenedStructure	Reason	Ziòas izslçgtas 10.04.2006	Information removed on 10.04.2006
registration_removal_reason	REMOVED_BY_CSN_DECISION	V	LegalEntityExtenedStructure	Reason	Izslçgts, pamatojoties uz GVN lçmumu	Removed by Chief State Notar (CSN) decision
registration_removal_reason	RESTORED	J	LegalEntityExtenedStructure	Reason	Darbîba atjaunota	Restored
registration_removal_reason	RESTORED_BY_CSN_DECISION	G	LegalEntityExtenedStructure	Reason	Atjaunots, pamatojoties uz GVN lçmumu	Restored by Chief State Notar (CSN) decision
registration_removal_reason	SUSPENDED	D	LegalEntityExtenedStructure	Reason	Darbîba apturçta	Suspended
religious_affiliation	ADVENTIST	43	LegalEntityExtenedStructure	ReligiouseAffilation	Septîtâs Dienas Adventistu	Seventh-day Adventist Church
religious_affiliation	ANGLICAN	11	LegalEntityExtenedStructure	ReligiouseAffilation	Anglikâòu	Anglican Communion
religious_affiliation	APOSTOLIC	12	LegalEntityExtenedStructure	ReligiouseAffilation	Apustuliskâ	Apostolic Church
religious_affiliation	ARMENIAN	42	LegalEntityExtenedStructure	ReligiouseAffilation	Senaustrumu Apustuliskâ	Armenian Apostolic Church
religious_affiliation	AUGSBURG	13	LegalEntityExtenedStructure	ReligiouseAffilation	Augsburgas (luterâòu)	Augsburg Confession
religious_affiliation	BAHAI	14	LegalEntityExtenedStructure	ReligiouseAffilation	Bahai	Baha'i
religious_affiliation	BAPTIST	15	LegalEntityExtenedStructure	ReligiouseAffilation	Baptistu	Baptist
religious_affiliation	BRANHAMISM	2189	LegalEntityExtenedStructure	ReligiouseAffilation	Branhamistu	Branhamism
religious_affiliation	BUDDHIST	16	LegalEntityExtenedStructure	ReligiouseAffilation	Budistu	Buddhist
religious_affiliation	CATHOLIC	29	LegalEntityExtenedStructure	ReligiouseAffilation	Katoïu	Roman Catholic
religious_affiliation	CHRISTIAN_SCIENCE	31	LegalEntityExtenedStructure	ReligiouseAffilation	Kristîgâs Zinâtnes	Christian Science
religious_affiliation	DE_LUTHERAN	32	LegalEntityExtenedStructure	ReligiouseAffilation	Vâcu luterâòu	German Lutheran
religious_affiliation	DENOMINATIONAL_BODY	30	LegalEntityExtenedStructure	ReligiouseAffilation	Konfesiju Iestâde	Denominational body
religious_affiliation	HINDU	23	LegalEntityExtenedStructure	ReligiouseAffilation	Hinduisti	Hindu
religious_affiliation	INTERFAITH	45	LegalEntityExtenedStructure	ReligiouseAffilation	Starpkonfesionâla	Inter-faith
religious_affiliation	ISLAM	36	LegalEntityExtenedStructure	ReligiouseAffilation	Musulmaòu	Islam / Muslims
religious_affiliation	JEHOVAHS_WITNESSES	27	LegalEntityExtenedStructure	ReligiouseAffilation	Jehovas Liecinieku	Jehovah's Witnesses
religious_affiliation	JEWISH	28	LegalEntityExtenedStructure	ReligiouseAffilation	Jûdu (Mozus) Ticîgo	Jewish
religious_affiliation	LV_DIEVTURI	18	LegalEntityExtenedStructure	ReligiouseAffilation	Dievturu	Latvian Dievturi
religious_affiliation	LV_EVANGELICAL	22	LegalEntityExtenedStructure	ReligiouseAffilation	Evaòìçlisko Kristieðu	Latvian Evangelical Christians
religious_affiliation	LV_EVANGELICAL_FAITH	20	LegalEntityExtenedStructure	ReligiouseAffilation	Evaòìçliskâs Ticîbas Kristieðu	Latvian Christians of Evangelical Faith
religious_affiliation	LV_EVANGELICAL_GOD	19	LegalEntityExtenedStructure	ReligiouseAffilation	Evaòìçliskâ Dieva	Latvian Congregation of Evangelical God 
religious_affiliation	LV_EVANGELICAL_MESSIAH	21	LegalEntityExtenedStructure	ReligiouseAffilation	Evaòìçlisko Mesijas Sekotâju	Latvian Evangelical Messiah-Followers
religious_affiliation	LV_EVANGELICAL_NG	24	LegalEntityExtenedStructure	ReligiouseAffilation	Evaòìçlisko kristieðu (Jaunâ Paaudze)	Latvian Evangelical Christions (New Generation)
religious_affiliation	LV_YOUTH_CHRISTIAN	26	LegalEntityExtenedStructure	ReligiouseAffilation	Jaunatnes Kristîgâ Savienîba	Latvian Youth Christian Association
religious_affiliation	LV_LUTHERAN	33	LegalEntityExtenedStructure	ReligiouseAffilation	Luterâòu	Latvian Lutheran
religious_affiliation	METHODIST	34	LegalEntityExtenedStructure	ReligiouseAffilation	Metodistu	Methodist
religious_affiliation	MORMON	35	LegalEntityExtenedStructure	ReligiouseAffilation	Pçdçjo dienu svçto (mormoòu)	The Church of Jesus Christ of Latter-day Saints
religious_affiliation	NEW_APOSTOLIC	25	LegalEntityExtenedStructure	ReligiouseAffilation	Jaunapustulisko kristieðu	New Apostolic Church
religious_affiliation	OLD_BELIEVER	49	LegalEntityExtenedStructure	ReligiouseAffilation	Vecticîbnieku	Old Believer
religious_affiliation	ORTHODOX	37	LegalEntityExtenedStructure	ReligiouseAffilation	Pareizticîgo	Easterm Orthodox
religious_affiliation	PENTACOSTAL	48	LegalEntityExtenedStructure	ReligiouseAffilation	Vasarsvçtku	Pentacostal
religious_affiliation	PRESBYTERIAN	39	LegalEntityExtenedStructure	ReligiouseAffilation	Presbiterâòu	Presbyterian 
religious_affiliation	PROTESTANT	40	LegalEntityExtenedStructure	ReligiouseAffilation	Protestantu	Protestant
religious_affiliation	REFORMED	41	LegalEntityExtenedStructure	ReligiouseAffilation	Reformâtu	Reformed Church
religious_affiliation	SALVATION_ARMY	38	LegalEntityExtenedStructure	ReligiouseAffilation	Pestîðanas Armija	The Salvation Army
religious_affiliation	SHINTO	44	LegalEntityExtenedStructure	ReligiouseAffilation	Sintoisti	Shinto
religious_affiliation	SUKIYO_MAHIKARI	46	LegalEntityExtenedStructure	ReligiouseAffilation	Sûkjo Mahikari	Sukyo Mahikari
religious_affiliation	UNITARIANISM	52	LegalEntityExtenedStructure	ReligiouseAffilation	Kristîgais unitârisms	Christian Unitarianism
religious_affiliation	VAISHNAVISM	47	LegalEntityExtenedStructure	ReligiouseAffilation	Vaiðnavu	Vaishnavism
religious_affiliation	VISSARION	51	LegalEntityExtenedStructure	ReligiouseAffilation	Pçdçjâs derîbas	Church of the Last Testament
reorganization	ACQUISITION	PIE	LegalEntityExtenedStructure	ReorganizationForm	Pievienoðana	Acquisition
reorganization	DIVISION	SAD	LegalEntityExtenedStructure	ReorganizationForm	Saðíelðana	Division by splitting up
reorganization	MERGER	APV	LegalEntityExtenedStructure	ReorganizationForm	Saplûðana	Merger with consolidation
reorganization	OTHER	CIT	LegalEntityExtenedStructure	ReorganizationForm	Cits	Other
reorganization	REORGANISATION	REO	LegalEntityExtenedStructure	ReorganizationForm	Reorganizâcija	Reorganisation
reorganization	SEPARATION	ATD	LegalEntityExtenedStructure	ReorganizationForm	Nodalîðana	Divestiture separation
reorganization	TRANSFORMATION	UDF	LegalEntityExtenedStructure	ReorganizationForm	Pârveidoðana	Transformation, change of  form or restructuring
rights_of_representation	INDIVIDUALLY	1	LegalEntityExtenedStructure	RepresentationMode	Tiesîbas pârstâvçt atseviðíi	Right to represent individually
rights_of_representation	NO_RIGHT	0	LegalEntityExtenedStructure	RepresentationMode	Nav tiesîbu pârstâvçt	No right of representation
rights_of_representation	SIGNATORY_POWER	9	LegalEntityExtenedStructure	RepresentationMode	Paraksta tiesîbas	Signatory power
rights_of_representation	WITH_ALL	3	LegalEntityExtenedStructure	RepresentationMode	Kopâ ar visiem	Jointly with all persons entitled to represent
rights_of_representation	WITH_AT_LEAST	2	LegalEntityExtenedStructure	RepresentationMode	Kopâ ar vismaz	Jointly with at least {withAtLeast} persons entitled to represent
rights_of_representation	WITH_CHAIR	4	LegalEntityExtenedStructure	RepresentationMode	Kopâ ar valdes priekðsçdçtâju	Jointly with  the Chairperson of the Board
rights_of_representation	WITH_DEPUTY_CHAIR	6	LegalEntityExtenedStructure	RepresentationMode	Kopîgi ar valdes priekðsçdçtâja vietnieku	Jointly with the Deputy Chairperson of the Board
rights_of_representation	WITH_PROKURIST	5	LegalEntityExtenedStructure	RepresentationMode	Kopîgi ar prokûristu	"Jointly with  the ""prokurist"""
rights_to_land	OWNERSHIP	I	LegalEntityExtenedStructure	ActForm	Aktâ noteiktâs tiesîbas uz zemi: îpaðuma	Right to the land under the deed: ownership
rights_to_land	USE	L	LegalEntityExtenedStructure	ActForm	Aktâ noteiktâs tiesîbas uz zemi: lietoðanas	Right to the land under the deed: use
securing_measure	ATTACHMENT	A	LegalEntityExtenedStructure	SecurityMeansForm	Arests	Attachment
securing_measure	LIEN	K	LegalEntityExtenedStructure	SecurityMeansForm	Apíîlâjums	Lien
securing_measure	PROHIBITION	L	LegalEntityExtenedStructure	SecurityMeansForm	Aizliegums	Prohibition
status	ANNULLED	A	LegalEntityExtenedStructure	Status	Anulçts	Annulled
status	REGISTERED				Reìistrçts	Registered
status	REMOVED	L	LegalEntityExtenedStructure	Status	Izslçgts no reìistra	Removed from the register
status_details	IN_LIQUIDATION				Aktîvs likvidâcijas process	Pending liquidation proceeding
status_details	REORGANIZED	R	LegalEntityExtenedStructure	Status	Izslçgts reorganizâcijas rezultâtâ	Removed from the register as a result of reorganization
subordination	CONTROL				Pakïautîbâ 	Under control
subordination	SUPERVISION				Pârraudzîbâ	Under supervision
various_notice	ADDRESS_TRANSFER_PROPOSAL	AMPR	LegalEntityExtenedStructure	EventType	Adreses maiòas priekðlikums	The address transfer proposal
various_notice	AMENDMENTS_TO_DECISION_ON_REORGANISATION	RLGR	LegalEntityExtenedStructure	EventType	Grozîjumi reorganizâcijas lçmuma projektâ	Amendments to the decision on reorganisation
various_notice	AMENDMENTS_TO_PLAN_FOR_EXTINGUISHING_OBLIGATIONS	SDGR	LegalEntityExtenedStructure	EventType	Saistîbu dzçðanas plâna grozîjumi	Amendments to the plan for extinguishing the obligations
various_notice	AMENDMENTS_TO_PLAN_FOR_PROPERTY_SALE_AND_SETTLING_OF_CLAIMS	MKGR	LegalEntityExtenedStructure	EventType	Mantas pârdoðanas un kreditoru prasîjumu apmierinâðanas plâna grozîjumi	Amendments to the plan for property sale and settling of creditors’ claims
various_notice	AMENDMENTS_TO_REORGANISATION_DRAFT_AGREEMENT	RCGR	LegalEntityExtenedStructure	EventType	Grozîjumi reorganizâcijas lîguma projektâ	Amendments to the Reorganisation draft agreement 
various_notice	CONFIRMATION_THAT_ARBITRATORS_UPDATED	ASSA	LegalEntityExtenedStructure	EventType	Apliecinâjums par ðíîrçjtiesneðu saraksta aktualitâti	Confirmation that the list of arbitrators is updated (historical)
various_notice	CONFIRMATION_UNDER_ARTICLE_8_5A_OF_ARBITRATION_LAW	ASL5	LegalEntityExtenedStructure	EventType	Apliecinâjums atbilstoði Ðíîrçjtiesu likuma 8.panta piektajai prim daïai	Confirmation under Paragraph 5', Article 8 of the Arbitration Law
various_notice	CONFIRMATION_UNDER_ARTICLE_8_6_OF_ARBITRATION_LAW	ASL6	LegalEntityExtenedStructure	EventType	Apliecinâjums atbilstoði Ðíîrçjtiesu likuma 8.panta sestajai daïai	Confirmation under Paragraph 6, Article 8 of the Arbitration Law 
various_notice	CORRECTED_PLAN_FOR_PROPERTY_SALE	MPGR	LegalEntityExtenedStructure	EventType	Precizçts mantas pârdoðanas plâns	Corrected plan for property sale
various_notice	DECISION_ON_CHANGE_OF_ADDRESS	LADR	LegalEntityExtenedStructure	EventType	Lçmums par adreses maiòu	Decision on the change of address
various_notice	DECISION_ON_CHANGE_OF_CANNONICAL_SUBORDINATION	LKAN	LegalEntityExtenedStructure	EventType	Lçmums par kanoniskâs pakïautîbas maiòu	Decision on the change of canonical subordination
various_notice	DECISION_ON_CHANGE_OF_THE_NAME	LNOS	LegalEntityExtenedStructure	EventType	Lçmums par nosaukuma maiòu	Decision on the change of the name
various_notice	DECISION_ON_LIQUIDATION	LLIK	LegalEntityExtenedStructure	EventType	Lçmums par likvidçðanu	Decision on the liquidation
various_notice	DECISION_ON_RECOGNITION	LATZ	LegalEntityExtenedStructure	EventType	Lçmums par atzîðanu	Decision on the recognition
various_notice	DECISION_ON_REORGANISATION	LREO	LegalEntityExtenedStructure	EventType	Lçmums par reorganizâciju	Decision on the reorganisation
