type	public_code	ur_code_legacy	XML_root_legacy	XML_element_legacy	description_LV	description_EN
area_of_activity	OTHER_RECREATION_ACTIVITIES	CIA	LegalEntityExtenedStructure	BusinessAreaForm	Cita izklaides un atpûtas darbîba	Other amusement and recreation activities
area_of_activity	PHILANTHROPIC_INTERMEDIATION	FIL	LegalEntityExtenedStructure	BusinessAreaForm	Filantropijas starpniecîba	Philanthropic intermediation
area_of_activity	PROFESSIONAL_ASSOCIATION_FOUNDATION	PRO	LegalEntityExtenedStructure	BusinessAreaForm	Profesionâlâ biedrîba vai nodibinâjums	Professional association or foundation
area_of_activity	PROMOTION_OF_EMPLOYMENT	NOV	LegalEntityExtenedStructure	BusinessAreaForm	Nodarbinâtîbas veicinâðana	Promotion of employment
area_of_activity	PROMOTION_OF_VOLUNTARY_WORK	BDV	LegalEntityExtenedStructure	BusinessAreaForm	Brîvprâtîgâ darba veicinâðana	Promotion of voluntary work
area_of_activity	PROTECTION_OF_ANIMALS	DAL	LegalEntityExtenedStructure	BusinessAreaForm	Dzîvnieku aizsardzîba un labklâjîba	Protection and welfare of animals
area_of_activity	PROTECTION_OF_HUMAN_RIGHTS	PTC	LegalEntityExtenedStructure	BusinessAreaForm	Pilsonisko tiesîbu un cilvçktiesîbu aizsardzîba	Protection of citizen and human rights
area_of_activity	RADIO_STATION	RAD	LegalEntityExtenedStructure	BusinessAreaForm	Radiostacija	Radio station
area_of_activity	REHABILITATION	REH	LegalEntityExtenedStructure	BusinessAreaForm	Rehabilitâcija	Rehabilitation
area_of_activity	REHABILITATION_OF_OFFENDERS	LRE	LegalEntityExtenedStructure	BusinessAreaForm	Likumpârkâpçju rehabilitâcija	Rehabilitation of offenders
area_of_activity	RESEARCH_MEDICINE	MED	LegalEntityExtenedStructure	BusinessAreaForm	Medicîniskâ pçtniecîba	Research on medicine
area_of_activity	RESEARCH_SOCIAL_SCIENCES	SZP	LegalEntityExtenedStructure	BusinessAreaForm	Sociâlâs zinâtnes, socioloìiskâ un politikas pçtniecîba	Research on social sciences and humanities, sociology, and politics
area_of_activity	SCIENCE_TECHNOLOGY	ZUT	LegalEntityExtenedStructure	BusinessAreaForm	Zinâtne un tehnoloìijas	Science and technology
area_of_activity	SOCIAL_PROTECTION	SOC	LegalEntityExtenedStructure	BusinessAreaForm	Sociâlâ aizsardzîba	Social protection
area_of_activity	SPORTS_CENTER	SPC	LegalEntityExtenedStructure	BusinessAreaForm	Sporta centrs	Sports center
area_of_activity	SPORTS_CLUB	SPK	LegalEntityExtenedStructure	BusinessAreaForm	Sporta klubs	Sports club
area_of_activity	SPORTS_EDUCATION	SPI	LegalEntityExtenedStructure	BusinessAreaForm	Sporta izglîtîba	Sports education
area_of_activity	SPORTS_SUPPORT	SAT	LegalEntityExtenedStructure	BusinessAreaForm	Sporta atbalsts	Support to sports
area_of_activity	SPORTS_UNION	SPA	LegalEntityExtenedStructure	BusinessAreaForm	Sporta apvienîba un sporta federâcija	Sports union and sports federation
area_of_activity	SUPPORT_FAMILIES_CHILDREN	AGB	LegalEntityExtenedStructure	BusinessAreaForm	Atbalsts ìimençm un bçrniem	Support to families and children
area_of_activity	SUPPORT_TO_VICTIMS_OF_CRIME	ANU	LegalEntityExtenedStructure	BusinessAreaForm	Atbalsts noziegumu upuriem	Support to victims of crime
area_of_activity	TRADE_UNION	ARB	LegalEntityExtenedStructure	BusinessAreaForm	Arodbiedrîba	Trade Union
area_of_activity	TV_CHANNEL	TVK	LegalEntityExtenedStructure	BusinessAreaForm	TV kanâls	TV channel
area_of_activity	VETERINARY_SERVICES	VET	LegalEntityExtenedStructure	BusinessAreaForm	Veterinârie pakalpojumi	Veterinary services
area_of_activity	VISUAL_ARTS	VIZ	LegalEntityExtenedStructure	BusinessAreaForm	Vizuâlâ mâksla	Visual arts
area_of_activity	VOLUNTEER_FIRE_ORGANIZATION	BUO	LegalEntityExtenedStructure	BusinessAreaForm	Brîvprâtîgo ugunsdzçsçju organizâcija	Volunteer fire organization
authority	CHANCERY_OF_PRESIDENT				Valsts prezidenta kanceleja	Chancery of the President of Latvia
authority	COURT				Tiesa 	Court
authority	DERIVED_PUBLIC_PERSON				Atvasinâta publiska persona	Derived public person
